name,gender,age,origin,specialty,house,blood_status,pet,wand_type,patronus,quidditch_position,boggart,favorite_class,house_points
Harry Potter,Male,11,England,Defense Against the Dark Arts,Gryffindor,Half-blood,Owl,Holly,Stag,Seeker,Dementor,Defense Against the Dark Arts,150.0
Hermione Granger,Female,11,England,Transfiguration,Gryffindor,Muggle-born,Cat,Vine,Otter,Seeker,Failure,Arithmancy,200.0
Ron Weasley,Male,11,England,Chess,Gryffindor,Pure-blood,Rat,Ash,Jack Russell Terrier,Keeper,Spider,Charms,50.0
Draco Malfoy,Male,11,England,Potions,Slytherin,Pure-blood,Owl,Hawthorn,Non-corporeal,Seeker,Lord Voldemort,Potions,100.0
Luna Lovegood,Female,11,Ireland,Creatures,Ravenclaw,Half-blood,Owl,Fir,Hare,Seeker,Her mother,Creatures,120.0
Neville Longbottom,Male,11,England,Herbology,Gryffindor,Pure-blood,Toad,Cherry,Non-corporeal,Seeker,Severus Snape,Herbology,70.0
Ginny Weasley,Female,11,England,Defense Against the Dark Arts,Gryffindor,Pure-blood,Owl,Yew,Horse,Chaser,Tom Riddle,Defense Against the Dark Arts,140.0
Cedric Diggory,Male,15,England,Quidditch,Hufflepuff,Pure-blood,Owl,Ash,Non-corporeal,Seeker,Failure,Defense Against the Dark Arts,160.0
Cho Chang,Female,14,Scotland,Charms,Ravenclaw,Half-blood,Owl,Hazel,Swan,Seeker,Failure,Charms,110.0
Severus Snape,Male,16,England,Potions,Slytherin,Half-blood,Owl,Elm,Doe,Seeker,Lily Potter,Potions,90.0
Albus Dumbledore,Male,17,England,Transfiguration,Gryffindor,Half-blood,Phoenix,Elder,Phoenix,Seeker,Ariana's death,Transfiguration,200.0
Minerva McGonagall,Female,16,Scotland,Transfiguration,Gryffindor,Half-blood,Cat,Fir,Cat,Seeker,Failure,Transfiguration,190.0
Bellatrix Lestrange,Female,15,England,Dark Arts,Slytherin,Pure-blood,Owl,Walnut,Non-corporeal,Azkaban,Dueling,Charms,119.2
Nymphadora Tonks,Female,14,Wales,Metamorphmagus,Hufflepuff,Half-blood,Owl,Blackthorn,Wolf,Seeker,Failure,Defense Against the Dark Arts,130.0
Remus Lupin,Male,16,England,Defense Against the Dark Arts,Gryffindor,Half-blood,Dog,Cypress,Non-corporeal,Seeker,Full Moon,Defense Against the Dark Arts,150.0
Sirius Black,Male,16,England,Transfiguration,Gryffindor,Pure-blood,Owl,Chestnut,Dog,Beater,Full Moon,Defense Against the Dark Arts,140.0
Horace Slughorn,Male,16,England,Potions,Slytherin,Half-blood,Owl,Cedar,Non-corporeal,Seeker,Failure,Potions,100.0
Filius Flitwick,Male,17,England,Charms,Ravenclaw,Half-blood,Owl,Hornbeam,Non-corporeal,Seeker,Failure,Charms,180.0
Pomona Sprout,Female,16,England,Herbology,Hufflepuff,Pure-blood,Cat,Pine,Non-corporeal,Seeker,Failure,Herbology,170.0
Helena Ravenclaw,Female,17,Scotland,Charms,Ravenclaw,Pure-blood,Owl,Rowan,Non-corporeal,Seeker,Her mother,Charms,160.0
Godric Gryffindor,Male,17,England,Dueling,Gryffindor,Pure-blood,Owl,Sword,Lion,Seeker,Failure,Dueling,200.0
Helga Hufflepuff,Female,17,Wales,Herbology,Hufflepuff,Pure-blood,Owl,Cedar,Non-corporeal,Seeker,Failure,Herbology,190.0
Rowena Ravenclaw,Female,17,Scotland,Charms,Ravenclaw,Pure-blood,Owl,Maple,Eagle,Seeker,Failure,Charms,180.0
Salazar Slytherin,Male,17,England,Dark Arts,Slytherin,Pure-blood,Owl,Ebony,Serpent,Seeker,Failure,Dark Arts,200.0
Molly Weasley,Female,16,England,Household Charms,Gryffindor,Pure-blood,Owl,Pine,Non-corporeal,Seeker,Failure,Household Charms,80.0
Arthur Weasley,Male,16,England,Muggle Artifacts,Gryffindor,Pure-blood,Owl,Hornbeam,Non-corporeal,Seeker,Failure,Muggle Studies,60.0
Lucius Malfoy,Male,16,England,Dark Arts,Slytherin,Pure-blood,Owl,Elm,Non-corporeal,Seeker,Failure,Dark Arts,90.0
Narcissa Malfoy,Female,15,England,Potions,Slytherin,Pure-blood,Owl,Hawthorn,Non-corporeal,Seeker,Failure,Potions,70.0
Pansy Parkinson,Female,11,England,Gossip,Slytherin,Pure-blood,Cat,Birch,Non-corporeal,Seeker,Failure,Gossip,40.0
Vincent Crabbe,Male,11,England,Strength,Slytherin,Pure-blood,Owl,Oak,Non-corporeal,Seeker,Failure,Strength,50.0
Gregory Goyle,Male,11,England,Strength,Slytherin,Pure-blood,Owl,Alder,Non-corporeal,Seeker,Failure,Strength,50.0
Lily Evans,Female,11,England,Charms,Gryffindor,Muggle-born,Owl,Willow,Doe,Seeker,Failure,Charms,150.0
James Potter,Male,11,England,Dueling,Gryffindor,Pure-blood,Owl,Walnut,Stag,Chaser,Failure,Dueling,160.0
Peter Pettigrew,Male,11,England,Transformation,Gryffindor,Half-blood,Rat,Ash,Non-corporeal,Seeker,Failure,Transformation,30.0
Gilderoy Lockhart,Male,15,England,Memory Charms,Ravenclaw,Half-blood,Owl,Cherry,Non-corporeal,Seeker,Failure,Memory Charms,70.0
Dolores Umbridge,Female,15,England,Dark Arts,Slytherin,Half-blood,Cat,Hemlock,Non-corporeal,Seeker,Failure,Dark Arts,60.0
Newt Scamander,Male,17,England,Magical Creatures,Hufflepuff,Half-blood,Demiguise,Chestnut,Non-corporeal,Seeker,Failure,Creatures,160.0
Tina Goldstein,Female,17,USA,Auror,Hufflepuff,Half-blood,Owl,Ash,Non-corporeal,Seeker,Failure,Defense Against the Dark Arts,140.0
Queenie Goldstein,Female,17,USA,Legilimency,Ravenclaw,Half-blood,Owl,Cypress,Non-corporeal,Seeker,Failure,Legilimency,130.0
Jacob Kowalski,Male,17,USA,Baking,Hufflepuff,No-mag,Owl,Birch,Non-corporeal,Seeker,Failure,Baking,10.0
Theseus Scamander,Male,17,England,Auror,Gryffindor,Half-blood,Dog,Elder,Non-corporeal,Seeker,Failure,Defense Against the Dark Arts,150.0
Leta Lestrange,Female,16,England,Potions,Slytherin,Pure-blood,Cat,Ebony,Non-corporeal,Seeker,Failure,Potions,100.0
Nagini,Female,18,Indonesia,Transformation,Slytherin,Half-blood,Snake,Teak,Non-corporeal,Seeker,Failure,Transformation,90.0
Grindelwald,Male,18,Europe,Dark Arts,Slytherin,Pure-blood,Owl,Elder,Non-corporeal,Seeker,Failure,Dark Arts,200.0
Bathilda Bagshot,Female,17,England,History of Magic,Ravenclaw,Half-blood,Cat,Willow,Non-corporeal,Seeker,Failure,Charms,119.2
Aberforth Dumbledore,Male,17,England,Goat Charming,Gryffindor,Half-blood,Goat,Oak,Non-corporeal,Seeker,Failure,Goat Charming,70.0
Ariana Dumbledore,Female,14,England,Obscurus,Gryffindor,Half-blood,Owl,Fir,Non-corporeal,Seeker,Failure,Obscurus,20.0
Victor Krum,Male,17,Bulgaria,Quidditch,Durmstrang,Pure-blood,Owl,Hawthorn,Non-corporeal,Seeker,Failure,Quidditch,180.0
